                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.87262,                0.51936,                0.91357,                0.82424,                0.72435,                0.79828,                 0.4864,                 0.9523,                0.54131,                0.94904,             0.00073579,             0.00073579,             0.00073579
                     51,                0.87521,                0.52067,                0.91404,                0.78677,                0.74629,                0.79581,                0.48546,                0.94892,                0.54993,                0.94924,             0.00072164,             0.00072164,             0.00072164
                     52,                0.87143,                0.51776,                0.91209,                0.81476,                0.73981,                0.79907,                0.48518,                0.95258,                0.54614,                0.95244,              0.0007075,              0.0007075,              0.0007075
                     53,                0.86596,                0.51487,                0.91189,                0.81042,                0.72696,                0.78987,                0.48188,                0.96483,                0.54891,                0.95502,             0.00069335,             0.00069335,             0.00069335
                     54,                0.86508,                0.51117,                0.91295,                0.81753,                0.73935,                0.80007,                0.48846,                0.94622,                0.54565,                0.94171,              0.0006792,              0.0006792,              0.0006792
                     55,                0.86133,                0.51055,                0.91008,                0.81321,                0.73387,                 0.7921,                0.48906,                0.94534,                0.54088,                 0.9452,             0.00066506,             0.00066506,             0.00066506
                     56,                0.86017,                0.50804,                0.90985,                0.78779,                0.74369,                0.79497,                0.49026,                0.93759,                0.54135,                0.94485,             0.00065091,             0.00065091,             0.00065091
                     57,                0.85959,                0.50697,                0.90819,                0.80004,                0.74914,                0.79849,                0.48897,                0.94053,                0.54137,                0.94781,             0.00063676,             0.00063676,             0.00063676
                     58,                0.85868,                0.50319,                0.90814,                0.80999,                0.73273,                0.79516,                0.48958,                0.94513,                0.53532,                0.94715,             0.00062262,             0.00062262,             0.00062262
                     59,                0.84841,                0.49931,                 0.9049,                0.81733,                0.74334,                0.80044,                0.49136,                0.94208,                0.53422,                0.94543,             0.00060847,             0.00060847,             0.00060847
                     60,                0.84272,                0.49533,                0.90446,                0.80975,                0.74244,                0.80153,                0.49128,                0.93625,                0.53914,                0.94393,             0.00059432,             0.00059432,             0.00059432
                     61,                0.84573,                0.49526,                0.90407,                0.81138,                0.74434,                0.80466,                0.49702,                0.92848,                0.52839,                0.94016,             0.00058017,             0.00058017,             0.00058017
                     62,                  0.845,                 0.4935,                0.90443,                0.79795,                0.74778,                0.80004,                0.49245,                0.93957,                0.54297,                0.94571,             0.00056603,             0.00056603,             0.00056603
                     63,                0.84458,                0.49393,                0.90358,                0.81691,                0.74752,                0.80501,                  0.496,                0.93168,                0.52335,                  0.943,             0.00055188,             0.00055188,             0.00055188
                     64,                0.84111,                 0.4866,                0.90435,                0.80009,                0.75169,                0.80198,                0.49505,                0.93434,                 0.5322,                 0.9438,             0.00053773,             0.00053773,             0.00053773
                     65,                0.84333,                0.48793,                0.90348,                0.82985,                0.73921,                0.80463,                0.49486,                0.94138,                 0.5315,                0.94777,             0.00052359,             0.00052359,             0.00052359
                     66,                0.83494,                0.48717,                0.90147,                0.82013,                0.74602,                 0.8014,                0.49601,                0.93271,                 0.5328,                0.94628,             0.00050944,             0.00050944,             0.00050944
                     67,                 0.8311,                0.48405,                0.89727,                 0.8257,                0.74071,                 0.8035,                0.49535,                0.93035,                0.53232,                0.93891,             0.00049529,             0.00049529,             0.00049529
                     68,                0.83127,                0.48129,                0.90061,                0.81814,                0.74691,                0.80601,                0.49445,                0.93885,                0.52626,                0.94622,             0.00048114,             0.00048114,             0.00048114
                     69,                0.83339,                0.48092,                0.89953,                0.82002,                0.74843,                0.80802,                0.49604,                0.93394,                0.51995,                0.94389,               0.000467,               0.000467,               0.000467
                     70,                0.83209,                0.48449,                0.90061,                0.83544,                0.73519,                 0.8049,                0.49816,                0.92871,                0.51784,                0.94135,             0.00045285,             0.00045285,             0.00045285
                     71,                0.82938,                0.47733,                0.89871,                0.82725,                0.73762,                0.81008,                0.49883,                0.92543,                 0.5237,                0.94017,              0.0004387,              0.0004387,              0.0004387
                     72,                0.81805,                0.47013,                 0.8925,                0.82416,                0.74095,                0.80493,                0.49365,                0.93241,                0.52817,                0.94413,             0.00042456,             0.00042456,             0.00042456
                     73,                0.82392,                0.47381,                0.89581,                0.81019,                0.75045,                 0.8056,                0.49777,                0.92552,                 0.5244,                0.94142,             0.00041041,             0.00041041,             0.00041041
                     74,                0.82036,                0.47061,                0.89704,                0.82565,                0.74267,                   0.81,                0.50193,                0.92233,                0.52271,                0.93727,             0.00039626,             0.00039626,             0.00039626
                     75,                0.81356,                0.46852,                0.89235,                 0.8272,                0.74881,                0.81043,                0.49949,                0.92952,                0.51889,                0.94348,             0.00038211,             0.00038211,             0.00038211
                     76,                0.81406,                0.46756,                0.89322,                0.81167,                0.75367,                0.80766,                0.49905,                0.92228,                 0.5208,                0.94165,             0.00036797,             0.00036797,             0.00036797
                     77,                0.81118,                0.46445,                0.89308,                0.81979,                0.74612,                0.81003,                0.49924,                0.92258,                0.51701,                 0.9395,             0.00035382,             0.00035382,             0.00035382
                     78,                 0.8132,                0.46524,                 0.8951,                0.82683,                0.75477,                0.81206,                0.50177,                0.92246,                0.51569,                0.94045,             0.00033967,             0.00033967,             0.00033967
                     79,                0.81463,                0.46341,                0.89408,                0.80583,                0.75917,                 0.8092,                0.49988,                0.92371,                0.51429,                0.94142,             0.00032553,             0.00032553,             0.00032553
                     80,                0.80631,                0.46023,                0.89235,                0.81998,                0.74611,                0.81001,                0.49959,                0.92142,                0.51795,                0.93925,             0.00031138,             0.00031138,             0.00031138
                     81,                0.80609,                0.46244,                0.89222,                0.82084,                0.74727,                0.80831,                0.50055,                0.92168,                0.51884,                0.93723,             0.00029723,             0.00029723,             0.00029723
                     82,                0.80754,                0.45619,                0.89112,                0.81754,                0.75433,                0.80995,                0.50076,                0.92372,                 0.5134,                0.93966,             0.00028308,             0.00028308,             0.00028308
                     83,                0.79957,                0.45542,                0.88993,                0.80984,                0.75468,                0.81123,                0.50166,                0.92323,                0.51341,                0.94052,             0.00026894,             0.00026894,             0.00026894
                     84,                0.80209,                0.45444,                0.89025,                0.81194,                0.75646,                0.81005,                0.50048,                0.92277,                 0.5165,                0.94022,             0.00025479,             0.00025479,             0.00025479
                     85,                0.79525,                0.45191,                0.88891,                0.81671,                 0.7503,                 0.8073,                0.49985,                0.92368,                0.52083,                0.94377,             0.00024064,             0.00024064,             0.00024064
                     86,                0.79101,                 0.4468,                0.88854,                0.82491,                0.75633,                0.81455,                0.50119,                 0.9241,                0.51767,                0.94252,              0.0002265,              0.0002265,              0.0002265
                     87,                0.79564,                0.45179,                0.88667,                0.83101,                0.74954,                0.81239,                0.50069,                0.92389,                0.51602,                0.94367,             0.00021235,             0.00021235,             0.00021235
                     88,                0.78933,                0.44872,                0.88697,                0.83133,                0.75299,                0.81382,                0.50167,                0.92562,                0.51327,                0.94473,              0.0001982,              0.0001982,              0.0001982
                     89,                0.79219,                0.44829,                0.88661,                0.83014,                0.74993,                0.81158,                 0.5021,                0.92173,                0.51206,                0.94344,             0.00018406,             0.00018406,             0.00018406
                     90,                0.78567,                 0.4442,                0.88382,                0.81354,                0.76215,                0.81349,                0.50227,                0.92156,                0.50647,                0.94394,             0.00016991,             0.00016991,             0.00016991
                     91,                0.78929,                0.42892,                 0.8781,                0.79809,                0.76441,                0.80712,                0.49768,                0.93045,                0.51554,                0.94579,             0.00015576,             0.00015576,             0.00015576
                     92,                0.77677,                0.41785,                0.87337,                0.80206,                0.75885,                0.80618,                0.49796,                0.92885,                0.51673,                0.94354,             0.00014161,             0.00014161,             0.00014161
                     93,                0.77376,                0.41453,                0.87336,                0.81234,                0.75485,                0.81124,                0.50128,                0.92719,                0.51112,                0.94222,             0.00012747,             0.00012747,             0.00012747
                     94,                 0.7702,                0.41421,                0.87244,                0.82467,                0.74074,                0.80838,                0.50051,                0.92479,                0.50805,                0.94321,             0.00011332,             0.00011332,             0.00011332
                     95,                0.76731,                0.40784,                  0.873,                0.81701,                0.74928,                0.80859,                0.50114,                0.92515,                0.50852,                0.94341,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.76657,                0.40731,                0.86997,                0.81127,                0.75024,                0.80794,                0.50069,                0.92602,                0.51192,                0.94357,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.76175,                0.40488,                0.86953,                0.80668,                0.75619,                 0.8101,                0.50012,                0.92501,                0.50968,                0.94356,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.76199,                0.40764,                0.86836,                0.81456,                0.74915,                 0.8075,                0.50109,                0.92243,                0.50978,                 0.9415,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.75913,                0.40714,                0.86919,                0.81411,                0.74863,                0.80874,                0.50261,                0.92077,                0.50815,                0.94104,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.75764,                0.40373,                0.86527,                0.81573,                0.74786,                 0.8085,                0.50273,                0.92266,                0.50983,                0.94234,             2.8437e-05,             2.8437e-05,             2.8437e-05
